GeneID,SRR26282776,SRR26282777,SRR26282778,SRR26282781,SRR26282782,SRR26282783
ENSG00000228037,0,2,0,0,2,0
ENSG00000142611,9,9,10,5,7,7
ENSG00000284616,0,0,0,0,0,0
ENSG00000157911,422,409,428,367,342,339
ENSG00000260972,0,0,0,0,0,0
ENSG00000224340,0,0,1,0,0,0
ENSG00000226374,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0
ENSG00000142655,463,501,452,421,364,385
ENSG00000232596,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0
ENSG00000231510,0,0,0,0,0,0
ENSG00000149527,7,6,7,2,13,8
ENSG00000284739,0,0,0,0,0,0
ENSG00000171621,275,324,358,246,293,309
ENSG00000272235,0,1,2,1,0,0
ENSG00000284694,0,0,0,0,1,0
ENSG00000224387,1,0,0,0,0,0
ENSG00000142583,60,64,86,43,47,50
ENSG00000284674,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0
ENSG00000287727,7,11,14,3,5,5
ENSG00000286448,0,0,1,0,0,0
ENSG00000284703,0,0,0,0,0,0
ENSG00000226457,5,2,3,4,15,5
ENSG00000173614,118,118,148,94,124,135
ENSG00000215720,0,0,0,3,0,1
ENSG00000241326,0,0,0,0,0,0
ENSG00000233623,0,4,2,1,2,0
ENSG00000204624,9,12,11,4,5,5
ENSG00000142606,14,8,12,3,12,10
ENSG00000225931,0,0,0,0,0,1
ENSG00000171729,188,188,229,324,146,218
ENSG00000229393,0,0,0,1,0,0
ENSG00000037637,387,367,323,413,205,305
ENSG00000287586,9,6,3,11,2,2
ENSG00000159423,288,283,235,310,186,239
ENSG00000227169,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000157916,1852,1951,1575,1871,1009,1442
ENSG00000157881,390,358,310,374,354,403
ENSG00000238290,0,2,1,3,0,2
ENSG00000225387,0,0,0,0,0,0
ENSG00000048707,2828,2390,2552,2165,1675,2252
ENSG00000225196,0,0,0,0,0,0
ENSG00000162444,282,307,296,180,149,287
ENSG00000279625,0,0,0,0,0,0
ENSG00000180758,177,170,167,206,137,199
ENSG00000184677,782,677,654,714,426,478
ENSG00000288398,35,31,30,24,39,37
ENSG00000224621,7,7,5,6,8,5
ENSG00000285833,0,0,0,0,0,0
ENSG00000131697,498,481,492,495,422,467
ENSG00000284692,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0
ENSG00000197921,0,0,1,0,0,0
ENSG00000233755,0,0,0,0,0,0
ENSG00000233929,6,11,11,13,15,7
ENSG00000234166,0,0,0,0,0,0
ENSG00000055070,1416,1442,1164,1504,726,995
ENSG00000230035,0,0,0,0,0,0
ENSG00000225643,3,0,1,0,3,2
ENSG00000284666,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0
ENSG00000234397,8,7,7,17,1,12
ENSG00000204138,840,765,639,866,404,526
ENSG00000233419,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0
ENSG00000228176,0,1,0,0,0,0
ENSG00000225011,0,0,0,0,0,0
ENSG00000284676,0,0,2,0,1,0
ENSG00000090020,517,447,358,670,387,379
ENSG00000157978,294,331,283,387,288,295
ENSG00000158006,125,131,139,174,99,159
ENSG00000214812,1,0,0,0,0,0
ENSG00000196581,1801,1645,1661,1340,577,591
ENSG00000169403,276,314,244,233,242,304
ENSG00000171612,205,217,150,210,67,143
ENSG00000270927,0,0,0,0,0,0
ENSG00000188910,873,906,681,1146,1113,1114
ENSG00000230523,0,0,1,0,0,1
ENSG00000158161,630,552,464,601,339,489
ENSG00000142627,2132,2158,1583,2433,2489,1950
ENSG00000284668,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0
ENSG00000142632,113,123,105,93,129,111
ENSG00000234593,0,0,0,0,0,0
ENSG00000189337,3203,3231,3195,1754,1829,1819
ENSG00000028137,3,2,3,0,3,2
ENSG00000204464,3,2,0,0,1,2
ENSG00000283259,0,0,0,0,0,0
ENSG00000130939,1492,1408,1351,1495,1645,1748
ENSG00000175147,30,29,28,30,30,41
ENSG00000127472,0,0,0,0,0,0
ENSG00000060656,648,674,777,604,744,730
ENSG00000163867,238,249,246,167,104,303
ENSG00000230214,0,0,0,0,0,0
ENSG00000189280,202,202,163,231,167,172
ENSG00000134698,956,871,821,550,500,775
ENSG00000272420,16,15,10,8,9,5
ENSG00000132881,19,16,13,24,29,27
ENSG00000273274,5,1,3,5,2,4
ENSG00000236648,0,0,0,0,0,0
ENSG00000232273,2,0,3,6,1,3
ENSG00000287396,0,0,0,0,0,0
ENSG00000130940,145,159,127,204,119,137
ENSG00000163879,20,7,7,11,1,16
ENSG00000227527,3,4,2,1,0,0
ENSG00000116954,508,529,455,412,180,458
ENSG00000228589,351,386,314,376,108,256
ENSG00000163873,0,0,0,0,0,1
ENSG00000117215,0,1,2,0,0,0
ENSG00000230163,0,0,0,0,0,0
ENSG00000227538,0,1,0,0,0,0
ENSG00000044012,0,0,0,0,0,0
ENSG00000179051,3481,3426,3055,3456,1878,2552
ENSG00000215895,6,1,1,5,4,4
ENSG00000284650,0,0,0,1,0,0
ENSG00000236948,0,0,0,0,0,0
ENSG00000126067,1651,1769,1385,2069,932,1099
ENSG00000274944,1,2,0,0,0,0
ENSG00000272078,8,7,10,13,7,5
ENSG00000230451,0,0,0,0,0,0
ENSG00000231606,0,0,0,1,0,0
ENSG00000284632,0,0,0,0,0,0
ENSG00000054118,3848,3884,3257,3107,1872,2359
ENSG00000254553,0,0,1,0,0,1
ENSG00000284653,0,0,0,0,0,0
ENSG00000237749,7,6,12,6,12,4
ENSG00000276747,0,0,0,1,0,0
ENSG00000284705,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0
ENSG00000159339,0,0,0,0,2,0
ENSG00000261781,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0
ENSG00000158315,132,126,111,111,92,167
ENSG00000186973,10,11,14,4,15,9
ENSG00000146463,2092,1781,1634,1934,1044,1425
ENSG00000271741,0,0,0,0,0,0
ENSG00000142686,259,244,211,188,129,162
ENSG00000224751,1,1,0,3,1,2
ENSG00000117148,0,0,0,1,0,0
ENSG00000230585,3,3,1,1,1,3
ENSG00000117000,1377,1353,1128,1343,454,1022
ENSG00000284989,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0
ENSG00000092853,826,772,500,843,256,332
ENSG00000255811,1,0,1,0,1,0
ENSG00000134697,2033,2090,1857,2186,1641,1751
ENSG00000187513,0,2,2,0,3,2
ENSG00000284720,0,0,0,0,0,0
ENSG00000225671,6,2,6,4,2,3
ENSG00000116151,222,206,225,142,173,178
ENSG00000006555,664,594,595,908,579,696
ENSG00000236111,2,2,1,1,1,0
ENSG00000214114,570,594,416,613,157,445
ENSG00000116544,20,23,16,5,11,20
ENSG00000236723,2,2,1,0,2,1
ENSG00000232467,0,1,0,0,0,2
ENSG00000117016,823,823,876,756,715,1179
ENSG00000163866,624,598,463,535,372,366
ENSG00000237130,0,0,1,0,0,0
ENSG00000232335,0,0,0,1,0,0
ENSG00000260971,3,2,1,0,1,0
ENSG00000284696,0,0,0,0,0,0
ENSG00000238242,0,0,1,0,0,0
ENSG00000232762,3,1,2,14,0,1
ENSG00000162384,652,617,601,585,572,676
ENSG00000162391,6,3,2,4,3,3
ENSG00000117859,3287,3036,2805,2626,1901,2405
ENSG00000162396,216,210,196,184,145,204
ENSG00000284686,2,2,0,0,0,1
ENSG00000162378,1977,1816,1693,1532,635,1669
ENSG00000233079,0,0,0,0,0,0
ENSG00000259818,0,1,8,3,2,5
ENSG00000229444,3,1,0,0,1,0
ENSG00000240563,0,0,0,2,0,0
ENSG00000234318,0,0,0,0,0,0
ENSG00000284773,15,12,29,9,13,21
ENSG00000234481,0,0,0,0,0,0
ENSG00000235612,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0
ENSG00000224609,19,16,22,7,8,6
ENSG00000235545,6,4,4,4,3,1
ENSG00000236646,0,2,0,1,1,1
ENSG00000238063,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0
ENSG00000243725,40,42,36,64,35,41
ENSG00000171872,0,0,0,1,2,2
ENSG00000162407,591,591,469,339,124,240
ENSG00000285079,0,0,0,0,0,0
ENSG00000163877,705,687,560,616,360,567
ENSG00000228929,137,173,182,147,21,170
ENSG00000224570,0,0,0,0,0,2
ENSG00000224980,0,0,0,0,0,0
ENSG00000278967,8,8,7,5,2,5
ENSG00000157184,283,290,219,252,174,214
ENSG00000198815,2729,2728,2561,2763,1185,2279
ENSG00000134744,3296,3034,3152,2787,1759,2694
ENSG00000233910,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0
ENSG00000283039,0,0,0,0,0,0
ENSG00000229294,1,0,0,0,0,0
ENSG00000234088,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,1
ENSG00000277397,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0
ENSG00000162385,1063,1049,877,1113,727,721
ENSG00000223883,0,0,0,0,0,0
ENSG00000237227,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0
ENSG00000116652,41,26,35,21,7,26
ENSG00000123080,220,200,222,219,136,177
ENSG00000285778,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0
ENSG00000225675,2,0,3,0,0,3
ENSG00000162598,1,0,1,0,3,2
ENSG00000280317,0,0,0,0,0,0
ENSG00000162415,33,28,31,58,20,21
ENSG00000162600,338,254,270,212,103,279
ENSG00000116704,360,364,305,378,172,297
ENSG00000157193,1052,1055,1119,1045,892,1016
ENSG00000116205,503,415,435,500,404,507
ENSG00000234204,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0
ENSG00000233994,7,5,9,6,6,9
ENSG00000233973,0,0,0,0,0,0
ENSG00000132854,301,260,199,318,121,116
ENSG00000227556,0,0,0,0,0,0
ENSG00000162607,4976,4919,3671,5277,1481,2936
ENSG00000285954,0,0,0,0,0,0
ENSG00000233333,0,1,0,0,0,0
ENSG00000154027,140,157,196,210,233,245
ENSG00000234108,0,0,0,0,0,0
ENSG00000232676,0,0,0,0,0,1
ENSG00000213579,0,0,0,0,0,0
ENSG00000137960,209,184,103,110,59,111
ENSG00000237852,0,0,0,1,0,1
ENSG00000132855,8,6,14,9,3,13
ENSG00000285407,13,10,13,13,4,9
ENSG00000270549,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0
ENSG00000116675,367,335,367,259,195,278
ENSG00000162433,3066,3046,2358,3141,1399,2068
ENSG00000213625,2341,2236,2347,1597,913,1839
ENSG00000233664,0,0,0,0,0,0
ENSG00000158966,189,187,152,199,160,171
ENSG00000213703,1,0,0,3,2,0
ENSG00000203965,264,249,218,239,85,189
ENSG00000223479,0,0,0,0,0,0
ENSG00000233674,2,1,0,0,2,4
ENSG00000153898,178,149,205,185,81,157
ENSG00000117069,1965,1939,1882,1193,986,1370
ENSG00000125703,435,377,326,489,210,352
ENSG00000285041,0,0,1,0,0,0
ENSG00000234144,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0
ENSG00000230498,91,69,83,35,59,72
ENSG00000285782,0,0,0,0,0,0
ENSG00000162618,0,0,0,0,0,0
ENSG00000224493,0,0,0,0,0,0
ENSG00000131233,0,2,0,0,1,0
ENSG00000272371,0,0,1,0,2,0
ENSG00000287647,0,1,1,1,0,0
ENSG00000229225,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0
ENSG00000137941,100,93,63,87,41,70
ENSG00000224326,0,1,0,1,0,0
ENSG00000286548,24,22,18,29,8,11
ENSG00000066135,703,597,592,662,428,609
ENSG00000272094,0,0,3,2,0,0
ENSG00000228853,0,1,0,0,0,0
ENSG00000284895,0,0,0,0,0,0
ENSG00000117174,1125,1167,958,1369,589,963
ENSG00000237413,0,0,0,0,0,0
ENSG00000184313,4,1,5,0,3,2
ENSG00000284645,0,0,0,0,0,0
ENSG00000225446,6,1,5,2,2,1
ENSG00000288543,43,40,60,16,76,41
ENSG00000122420,3,2,1,1,3,0
ENSG00000284240,1,1,0,0,0,0
ENSG00000236290,0,0,1,0,0,0
ENSG00000143013,1286,1300,1116,1235,894,816
ENSG00000226084,1043,1095,1355,973,1823,1130
ENSG00000134748,1752,1786,1479,2228,1385,1531
ENSG00000142892,1008,900,867,917,351,807
ENSG00000287743,4,5,1,2,2,3
ENSG00000229332,0,0,0,0,0,0
ENSG00000227937,0,0,0,0,0,0
ENSG00000229752,0,0,0,0,0,1
ENSG00000237505,24,5,19,12,8,24
ENSG00000285462,0,0,0,0,0,0
ENSG00000233216,0,0,1,0,0,0
ENSG00000197273,0,0,0,0,0,0
ENSG00000226804,0,0,0,0,0,0
ENSG00000230728,0,0,0,0,1,1
ENSG00000232846,0,0,0,0,0,0
ENSG00000230787,0,1,1,1,0,1
ENSG00000116641,1427,1217,1188,1643,557,915
ENSG00000172260,693,680,501,778,320,527
ENSG00000285473,1,1,1,0,0,1
ENSG00000237959,0,0,1,0,0,0
ENSG00000231364,0,0,0,0,0,0
ENSG00000234578,0,0,0,0,0,0
ENSG00000137944,506,448,509,326,279,400
ENSG00000229505,0,0,1,0,0,0
ENSG00000228187,0,2,1,1,0,0
ENSG00000182183,1,0,2,0,0,1
ENSG00000236407,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0
ENSG00000067334,1898,1809,1564,2302,1283,1611
ENSG00000235011,0,0,0,0,0,0
ENSG00000213559,0,1,0,0,2,0
ENSG00000287587,1,1,1,0,1,1
ENSG00000142949,11413,10399,11500,10765,14138,11956
ENSG00000232882,35,34,27,33,37,34
ENSG00000171502,2,1,3,0,0,3
ENSG00000116157,392,424,405,295,280,338
ENSG00000143036,86,112,78,73,48,77
ENSG00000230817,0,1,0,0,0,0
ENSG00000065243,4138,3773,3367,3920,1623,3384
ENSG00000226759,4,1,5,0,2,4
ENSG00000226960,1,0,0,0,0,0
ENSG00000234080,1,5,2,1,1,2
ENSG00000237899,2,1,7,2,4,6
ENSG00000227290,1,0,0,1,0,0
ENSG00000282898,0,0,0,0,0,0
ENSG00000285409,0,0,0,0,0,0
ENSG00000117528,2402,2257,1786,2277,679,1399
ENSG00000271723,0,0,0,0,0,0
ENSG00000036549,1979,1808,1788,1801,790,1647
ENSG00000225191,0,0,0,0,0,0
ENSG00000287870,8,1,5,3,2,7
ENSG00000232048,0,0,0,0,0,2
ENSG00000232857,0,1,0,0,0,0
ENSG00000273637,0,0,0,0,0,0
ENSG00000228838,3,5,3,1,1,0
ENSG00000283761,14,13,9,12,8,8
ENSG00000189433,14,13,8,8,10,15
ENSG00000230759,0,0,0,0,0,0
ENSG00000142700,2,2,0,3,1,3
ENSG00000285525,0,0,0,0,0,0
ENSG00000236098,27,17,11,11,8,10
ENSG00000233514,3,3,3,6,3,4
ENSG00000127124,584,496,456,721,389,362
ENSG00000266993,41,39,25,25,8,31
ENSG00000223675,0,1,0,0,0,1
ENSG00000229316,0,0,0,0,0,0
ENSG00000287406,0,0,0,0,0,0
ENSG00000225767,4,1,5,3,3,3
ENSG00000234099,0,0,0,0,0,0
ENSG00000137936,1684,1572,1413,1912,1563,1642
ENSG00000235308,1,3,0,1,1,1
ENSG00000232752,0,0,0,0,0,0
ENSG00000235829,0,0,0,0,0,0
ENSG00000143032,0,0,0,0,0,0
ENSG00000226745,0,0,0,0,1,0
ENSG00000280040,0,4,1,0,0,0
ENSG00000117519,4264,4240,3363,3785,2641,3483
ENSG00000270507,0,0,0,0,0,0
ENSG00000238037,0,0,0,0,0,0
ENSG00000134215,201,212,101,33,55,86
ENSG00000227935,0,0,0,0,0,0
ENSG00000228502,75,91,98,61,87,88
ENSG00000236268,2,1,1,0,1,1
ENSG00000271277,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,0,0
ENSG00000279778,0,0,0,1,0,0
ENSG00000230828,0,0,0,0,0,0
ENSG00000188641,1286,1274,1348,1771,689,1322
ENSG00000152078,1654,1572,1233,1194,328,1142
ENSG00000233359,0,0,0,0,0,0
ENSG00000237954,0,0,0,0,0,0
ENSG00000171492,1448,1482,1112,1226,709,1094
ENSG00000233129,0,0,2,0,0,0
ENSG00000170989,815,860,552,483,415,517
ENSG00000233557,0,1,0,0,0,0
ENSG00000237897,0,4,3,4,0,3
ENSG00000116299,14,9,12,10,11,6
ENSG00000137962,25170,23116,21849,19551,6793,18471
ENSG00000286692,0,0,0,2,0,0
ENSG00000260464,10,9,12,8,5,15
ENSG00000237435,0,0,0,0,0,0
ENSG00000231996,0,0,0,0,0,0
ENSG00000273204,4,3,4,3,3,6
ENSG00000079739,2038,2056,1858,2002,1398,1690
ENSG00000117154,0,0,0,0,0,0
ENSG00000162377,1520,1453,1213,1392,1011,1164
ENSG00000224613,0,1,0,0,0,0
ENSG00000215871,0,0,0,0,0,0
ENSG00000287372,0,0,0,0,0,0
ENSG00000232542,0,1,1,1,0,0
ENSG00000116774,847,832,504,327,196,290
ENSG00000287756,0,0,1,0,0,0
ENSG00000284652,4,0,1,0,3,1
ENSG00000023909,2963,2926,2298,3554,1104,2556
ENSG00000069702,117,112,117,84,47,73
ENSG00000228399,4,2,3,0,1,5
ENSG00000236776,0,0,0,0,0,0
ENSG00000224685,0,0,0,0,0,0
ENSG00000287076,0,0,0,0,0,0
ENSG00000237480,0,0,1,0,1,0
ENSG00000271252,0,0,0,0,0,0
ENSG00000235794,1,0,0,1,0,0
ENSG00000286758,1,0,0,0,0,1
ENSG00000237337,0,0,0,0,0,1
ENSG00000233983,0,0,0,0,0,0
ENSG00000198198,1265,1060,1290,1078,1040,1094
ENSG00000230402,0,0,0,0,0,0
ENSG00000116793,879,829,686,905,274,492
ENSG00000232918,0,0,1,0,0,0
ENSG00000183298,50,52,57,53,25,49
ENSG00000234332,26,21,12,30,49,16
ENSG00000117525,7712,7661,5271,10093,4383,7325
ENSG00000225079,0,0,0,0,0,0
ENSG00000224238,1,1,0,2,2,0
